薬局名,クローバー薬局　本店
集計期間開始日,2025/12/01
集計期間終了日,2026/02/28
集計開始時刻,
集計終了時刻,
時刻通し集計,0
出力順,医薬品名(昇順)
検索キー,
医療情報,
No,ID,処方薬種別,剤型,医薬品名,単位,麻薬,毒薬,ハイリスク,後発,使用回数,使用量,薬価,使用金額,レセコード,YJコード,後発区分,向精神薬,覚せい剤,劇薬,抗がん剤,制吐剤,RMP,選定療養
1,1250,0,外用,１０％サリチル酸ワセリン軟膏東豊,g,False,False,False,True,38,"1,200.0",4.31,5172,662650001,2652701M2021,3:後発品,False,False,False,False,False,False,False
2,261,0,内用,アリナミンＦ糖衣錠２５ｍｇ,錠,False,False,False,False,3,397.0,6.1,2422,613120001,3122007F2039,　:準先発品,False,False,False,False,False,False,True
3,156,0,内用,２ｍｇセルシン錠,錠,False,False,False,False,1,44.5,6.2,276,611170005,1124017F2135,　:準先発品,True,False,False,False,False,False,True
4,2100,0,外用,５％サリチル酸ワセリン軟膏東豊,g,False,False,False,True,100,"3,200.0",4.2,13440,662650002,2652701M1025,3:後発品,False,False,False,False,False,False,False
5,689,0,外用,ＡＺ点眼液０．０２％　５ｍＬ,瓶,False,False,False,True,4,7.0,91.6,641,620008979,1319703Q2124,3:後発品,False,False,False,False,False,False,False
6,2120,0,内用,ＥＳポリタミン配合顆粒,g,False,False,False,False,3,204.0,25.2,5141,620747801,3253002D1030,基:基礎的医薬品,False,False,False,False,False,False,False
7,763,0,内用,Ｍ・Ｍ配合散,g,False,False,False,False,15,"2,491.9",6.5,16197,620469401,2339181B1034,1:先発品(後発なし),False,False,False,False,False,False,False
8,2116,0,外用,ＭＳ温シップ「タイホウ」,g,False,False,False,True,9,"4,000.0",0.89,3560,660407074,2649843S1039,3:後発品,False,False,False,False,False,False,False
9,359,0,内用,ＭＳコンチン錠１０ｍｇ,錠,True,False,False,False,4,140.0,245.6,34384,618110023,8114004G1027,基:基礎的医薬品,False,False,True,False,False,False,False
10,843,0,内用,ＳＧ配合顆粒,g,False,False,False,False,9,402.0,7.5,3015,621558101,1149116D1033,1:先発品(後発なし),False,False,False,False,False,False,False
11,776,0,外用,ＳＰトローチ０．２５ｍｇ「明治」,錠,False,False,False,True,48,"1,060.0",5.9,6254,620509501,2399710E1046,3:後発品,False,False,False,False,False,False,False
